STATE,name,entryType,startTime,duration,initiatorType,nextHopProtocol,workerStart,redirectStart,redirectEnd,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,transferSize,encodedBodySize,decodedBodySize,serverTiming
SW was awake,https://nonimportscript.surge.sh/network.json,resource,23777.69999999873,98.50000000005821,fetch,,23780.399999999645,0,0,23780.399999999645,23780.399999999645,23780.399999999645,23780.399999999645,23780.399999999645,0,23780.399999999645,23870.899999998073,23876.19999999879,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,23890.4999999977,121.99999999938882,fetch,,23894.000000000233,0,0,23894.000000000233,23894.000000000233,23894.000000000233,23894.000000000233,23894.000000000233,0,23894.000000000233,24006.999999997788,24012.49999999709,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,24206.599999997707,91.1999999989348,fetch,,24208.7999999967,0,0,24208.7999999967,24208.7999999967,24208.7999999967,24208.7999999967,24208.7999999967,0,24208.7999999967,24292.499999999563,24297.79999999664,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,24308.59999999666,104.4000000001688,fetch,,24311.99999999808,0,0,24311.99999999808,24311.99999999808,24311.99999999808,24311.99999999808,24311.99999999808,0,24311.99999999808,24408.199999998033,24412.999999996828,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,24606.89999999886,97.49999999985448,fetch,,24609.49999999866,0,0,24609.599999999773,24609.599999999773,24609.599999999773,24609.599999999773,24609.599999999773,0,24609.599999999773,24697.59999999951,24704.399999998714,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,24719.900000000052,113.39999999836436,fetch,,24723.50000000006,0,0,24723.50000000006,24723.50000000006,24723.50000000006,24723.50000000006,24723.50000000006,0,24723.50000000006,24827.9999999977,24833.299999998417,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,25037.499999998545,94.70000000146683,fetch,,25039.89999999976,0,0,25039.89999999976,25039.89999999976,25039.89999999976,25039.89999999976,25039.89999999976,0,25039.89999999976,25128.199999999197,25132.20000000001,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,25140.400000000227,80.99999999831198,fetch,,25143.3999999972,0,0,25143.3999999972,25143.3999999972,25143.3999999972,25143.3999999972,25143.3999999972,0,25143.3999999972,25215.399999997317,25221.39999999854,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,25374.89999999889,78.3000000010361,fetch,,25377.09999999788,0,0,25377.09999999788,25377.09999999788,25377.09999999788,25377.09999999788,25377.09999999788,0,25377.09999999788,25449.19999999911,25453.199999999924,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,25463.99999999994,103.49999999743886,fetch,,25466.39999999752,0,0,25466.39999999752,25466.39999999752,25466.39999999752,25466.39999999752,25466.39999999752,0,25466.39999999752,25562.999999998283,25567.49999999738,0,31522,31522,
