STATE,is,e_is,ofv,mbv,pc,ol
SW was awake,329.3999999987136,381.49999999950523,400.7999999994354,419.30000000138534,969.4000000017695,1123.700000000099
SW was stopped,428.40000000069267,495.80000000059954,532.999999999447,551.9999999996799,1277.7999999998428,1646.600000000035
SW was awake,369.99999999898137,430.00000000029104,455.8999999972002,472.20000000015716,1746.5999999985797,1909.1999999982363
SW was stopped,372.90000000211876,427.5000000016007,446.2000000021362,464.10000000105356,1222.0000000015716,1675.3000000026077
SW was awake,413.49999999874854,462.4999999978172,487.2999999970489,503.3999999977823,1077.7999999991152,1307.7999999986787
SW was stopped,390.59999999881256,442.9999999993015,462.99999999973807,480.200000001787,1263.8000000006286,1276.4999999999418
SW was awake,464.50000000186265,528.0999999995402,548.2000000010885,565.0999999998021,1273.1999999996333,1273.9000000001397
SW was stopped,349.00000000197906,394.70000000073924,413.1000000015774,428.70000000039,1448.500000002241,1576.3000000006286
SW was awake,371.50000000110595,432.60000000009313,457.90000000124564,473.0999999992491,1168.600000000879,1332.2000000007392
SW was stopped,343.99999999732245,423.0999999999767,441.49999999717693,462.599999998929,1206.0999999994237,1323.099999997794
SW was awake,384.2000000004191,448.00000000032014,471.6000000007625,487.00000000098953,1179.4999999983702,1324.0999999979977
SW was stopped,406.9000000017695,467.5000000024738,486.89999999987776,504.89999999990687,1111.6000000001804,1112.3000000006869
SW was awake,428.40000000069267,472.20000000015716,490.4999999998836,506.09999999869615,1034.7000000001572,1055.499999998574
SW was stopped,676.6000000025088,729.5000000012806,747.5000000013097,764.3000000025495,1341.100000001461,1445.6000000027416
SW was awake,341.1999999989348,391.4999999979045,410.7000000003609,429.0999999975611,2155.399999999645,2155.800000000454
SW was stopped,439.699999998993,502.40000000121654,521.7000000011467,538.0999999979394,1195.2999999994063,1476.3999999995576
SW was awake,358.5000000020955,408.8000000010652,432.4000000015076,448.00000000032014,1024.5000000031723,1025.2000000000407
SW was stopped,414.19999999925494,463.2999999994354,494.0999999998894,513.1000000001222,1487.6000000003842,1637.0999999999185

